element_id,cx_mm,cy_mm,sigma_x_MPa,sigma_y_MPa,tau_xy_MPa,von_mises_MPa
2371,110.66666666666667,59.333333333333336,0.6180633757437679,-2.964099298800523,0.7715944660188234,3.4103000619061747
2372,113.33333333333333,58.666666666666664,0.272207331714283,-3.5101416870925584,0.9536787955675761,3.725251879536071
2373,112.66666666666667,59.333333333333336,0.535156446880916,-3.1939032039374142,0.8378412759032207,3.580238231328851
2374,115.33333333333333,58.666666666666664,0.21176831498197624,-3.7499808767154597,1.000642792207268,3.9084790406890866
2375,114.66666666666667,59.333333333333336,0.4590476313793257,-3.430067272950397,0.8872042081747855,3.7494510643216667
2376,117.33333333333333,58.666666666666664,0.1584204126615969,-3.997846594540786,1.029935525177772,4.089971377733945
2377,116.66666666666667,59.333333333333336,0.3900516188279677,-3.673573746495749,0.9187547143354906,3.9177008193752054
2378,119.33333333333333,58.666666666666664,0.11247096156759628,-4.253852125165983,1.0405815997167729,4.2700181133108375
2379,118.66666666666667,59.333333333333336,0.32825243546713434,-3.9250614419098415,0.9316671682856369,4.08527866162798
2380,121.33333333333333,58.666666666666664,0.07393480382325812,-4.517837382936143,1.0317840235113396,4.449375740499841
2381,120.66666666666667,59.333333333333336,0.2735306120972689,-4.184826560653266,0.9252626973999619,4.252995900227191
2382,123.33333333333333,58.666666666666664,0.042544119523827195,-4.78941827901413,1.0029905437660553,4.629274039172597
2383,122.66666666666667,59.333333333333336,0.22559892622458522,-4.452838473335575,0.8990636212901926,4.422166972099888
2384,125.33333333333333,58.666666666666664,0.01777109676326294,-5.068056183250165,0.9539678679732521,4.811404015374781
2385,124.66666666666667,59.333333333333336,0.1840483643958093,-4.728773602640423,0.8528558983247945,4.594576738875192
2386,127.33333333333333,58.666666666666664,-0.0011336642188704005,-5.353147871437044,0.8848794976460598,4.997880597041565
2387,126.66666666666667,59.333333333333336,0.1484052319339475,-5.012070125319871,0.7867561691920617,4.7724254516660025
2388,129.33333333333334,58.666666666666664,-0.015084992399207575,-5.644134430880557,0.796362003297367,5.191174827124478
2389,128.66666666666666,59.333333333333336,0.11819930163334913,-5.302005171786092,0.7012792926719628,4.958247076460164
2390,131.33333333333334,58.666666666666664,-0.025088734167661553,-5.940625276307684,0.689594125634939,5.394014215458407
2391,130.66666666666666,59.333333333333336,0.09304160422251906,-5.5977944608998165,0.5974018948753294,5.154800730639214
2392,133.33333333333334,58.666666666666664,-0.032150718616903884,-6.242531020533893,0.5663533870122425,5.609255862846242
2393,132.66666666666666,59.333333333333336,0.07270905614013712,-5.898711937604341,0.47661761547492393,5.364940535601061
2394,135.33333333333334,58.666666666666664,-0.03717326090202011,-6.550196899806426,0.4290561463214206,5.839744262050517
2395,134.66666666666666,59.333333333333336,0.057231796442618776,-6.2042242283655265,0.34098060056431284,5.591475441344884
2396,137.33333333333334,58.666666666666664,-0.0408459005881201,-6.8645272503135075,0.28077924541116495,6.088172834277232
2397,136.66666666666666,59.333333333333336,0.04697809234384298,-6.514132034129627,0.19313540358799608,5.837036202167334
2398,139.33333333333334,58.666666666666664,-0.04353907318039063,-7.187091493108992,0.12526430431547125,6.356973340785227
2399,138.66666666666666,59.333333333333336,0.042731159082307624,-6.828708510454753,0.03633366133208369,6.103970207859526
2400,61.333333333333336,60.666666666666664,0.10166614762880588,3.0805040242886945,-0.10798383289564516,2.6636696728742204
2401,60.666666666666664,61.333333333333336,-0.15161157626897803,2.676265919518176,0.02351933283801532,2.50085645480733
2402,63.333333333333336,60.666666666666664,0.12194865988810677,3.206801310496657,-0.3241574441101505,2.8099277761722785
2403,62.666666666666664,61.333333333333336,-0.04324921540250615,3.018397440132418,-0.25343709497918004,2.7526371980720845
2404,65.33333333333333,60.666666666666664,0.1804548758553839,3.1540298430788125,-0.5796465771357067,2.8432961613347647
2405,64.66666666666667,61.333333333333336,0.17063692599531,3.227667710256887,-0.5924105605993067,2.9195663556257623
2406,67.33333333333333,60.666666666666664,0.2834736734449792,2.952844859864202,-0.825095581085859,2.7938245037775244
2407,66.66666666666667,61.333333333333336,0.45128727356223375,3.270100870667463,-0.9221095032699621,3.0106626460435337
2408,69.33333333333333,60.666666666666664,0.4227465495278617,2.6453124239985546,-1.0282123953354338,2.6931451732383436
2409,68.66666666666667,61.333333333333336,0.7578302378838386,3.156140530337999,-1.197394754274518,3.0377538533990656
2410,71.33333333333333,60.666666666666664,0.5832575035496735,2.271307009871695,-1.1730122199825974,2.5672841484694295
2411,70.66666666666667,61.333333333333336,1.05724452599161,2.917240128197304,-1.3969962481361065,3.013526905926475
2412,73.33333333333333,60.666666666666664,0.7491029446961123,1.8632155533089605,-1.2554730423586022,2.4356808444808338
2413,72.66666666666667,61.333333333333336,1.3268585809949733,2.5899931859196808,-1.5163796961405185,2.9510206762711193
2414,75.33333333333333,60.666666666666664,0.9067100534848229,1.4449867555674711,-1.2790279144212258,2.312198669854762
2415,74.66666666666667,61.333333333333336,1.553427838680213,2.2079262221592892,-1.5609593647786675,2.8630350837516745
2416,77.33333333333333,60.666666666666664,1.0460665413894186,1.033046649221495,-1.2510520382544512,2.2064517243372426
2417,76.66666666666667,61.333333333333336,1.731048458293956,1.7982746433428138,-1.5410940204596226,2.761620307335217
2418,79.33333333333333,60.666666666666664,1.1607800668093005,0.6377958228527493,-1.1804855576047384,2.1248924334999075
2419,78.66666666666667,61.333333333333336,1.8589807065367467,1.3814384342846355,-1.4688542078366051,2.6577519948834105
2420,81.33333333333333,60.666666666666664,1.2475769776666858,0.2651055651656509,-1.076385278401345,2.0715408996636646
2421,80.66666666666667,61.333333333333336,1.9398072508690885,0.9716646160212299,-1.3561431432129414,2.561135399188375
2422,83.33333333333333,60.666666666666664,1.3056133916835755,-0.08240759229884786,-0.9471369387472212,2.048415516516598
2423,82.66666666666667,61.333333333333336,1.9780339139682903,0.5781585378663385,-1.2137342692372015,2.480031395861226
2424,85.33333333333333,60.666666666666664,1.3357962091486502,-0.40437907714427646,-0.8000979066134783,2.0558037395923674
2425,84.66666666666667,61.333333333333336,1.979102012832052,0.20623038819335626,-1.0508809604176854,2.421029705540772
2426,87.33333333333333,60.666666666666664,1.3402015691192164,-0.7019439215672312,-0.6415005482179348,2.092518202292711
2427,86.66666666666667,61.333333333333336,1.9487333677776033,-0.14169172344615366,-0.8752573475738277,2.388775847611749
2428,89.33333333333333,60.666666666666664,1.3216164422038137,-0.9771898742627091,-0.47650111419106356,2.156220763830529
2429,88.66666666666667,61.333333333333336,1.8925230797345474,-0.46523470273208933,-0.6930734760033342,2.3857503923188568
2430,91.33333333333333,60.666666666666664,1.2831980861386239,-1.2327686753471405,-0.30930062500490424,2.243806790608331
2431,90.66666666666667,61.333333333333336,1.8157062548545082,-0.7654370974124116,-0.5092685743350269,2.4122420708238304
2432,93.33333333333333,60.666666666666664,1.2282331187040607,-1.471624199701973,-0.14329331526501657,2.3517845662696777
2433,92.66666666666667,61.333333333333336,1.7230407975974869,-1.0442646561504851,-0.32772675975399945,2.4666026382337964
2434,95.33333333333333,60.666666666666664,1.1599746511004942,-1.6968044478819615,0.018782654274215244,2.476585538361336
2435,94.66666666666667,61.333333333333336,1.6187637523045875,-1.30425392815889,-0.15148526991121766,2.5457463126568904
2436,97.33333333333333,60.666666666666664,1.0815372758066422,-1.9113323086018492,0.17470549731522256,2.6147771771591994
2437,96.66666666666667,61.333333333333336,1.506591435360485,-1.5482543974848226,0.01707908318104856,2.645752598823762
2438,99.33333333333333,60.666666666666664,0.9958329151510881,-2.118116715987587,0.32264722493895703,2.763185889769045
2439,98.66666666666667,61.333333333333336,1.3897433868517124,-1.779243975296819,0.17609058246067852,2.7624179235088264
2440,101.33333333333333,60.666666666666664,0.9055341539531496,-2.3198911220976255,0.46107026992283767,2.9189552523624136
2441,100.66666666666667,61.333333333333336,1.2709772980455984,-2.000197694747082,0.3240429556342393,2.8916641198229236
2442,103.33333333333333,60.666666666666664,0.8130550279504811,-2.5191702537725096,0.5886433184019456,3.079566533063449
2443,102.66666666666667,61.333333333333336,1.152627076255789,-2.2139941553964944,0.4596936890656809,3.0297885659607906
2444,105.33333333333333,60.666666666666664,0.7205420718487534,-2.718219169468822,0.7041754486133124,3.24284240980571
2445,104.66666666666667,61.333333333333336,1.0366396336174784,-2.423348279915225,0.581981758348848,3.1735885062946365
2446,107.33333333333333,60.666666666666664,0.6298707178787148,-2.919030921178196,0.8065674238732096,3.40694736354861
2447,106.66666666666667,61.333333333333336,0.9246082903139892,-2.6307622186980066,0.6899661688901169,3.3204055451098875
2448,109.33333333333333,60.666666666666664,0.5426439450836176,-3.12331086303466,0.8947790603518618,3.570392255980132
2449,108.66666666666667,61.333333333333336,0.8178022214841854,-2.838488848204423,0.7827830021057008,3.4681296043554344
2450,111.33333333333333,60.666666666666664,0.4601915097786182,-3.3324669860525384,0.9678117819242754,3.732046548699345
2451,110.66666666666667,61.333333333333336,0.7171924061262329,-3.0485043797306823,0.8596190813903811,3.6151887541678946
2452,113.33333333333333,60.666666666666664,0.38356923435669343,-3.5476066998272673,1.0247056518528193,3.891159019015253
2453,112.66666666666667,61.333333333333336,0.6234752300047302,-3.262488248812776,0.9197007625203139,3.7605396135802724
2454,115.33333333333333,60.666666666666664,0.3135587699145752,-3.769541283034814,1.0645502484914087,4.047386049257663
2455,114.66666666666667,61.333333333333336,0.5370953593063217,-3.4818097891345694,0.9622966318330104,3.9036645719073433
2456,117.33333333333333,60.666666666666664,0.2506690248892105,-3.9987997990195154,1.08650867478294,4.20082511385135
2457,116.66666666666667,61.333333333333336,0.45826979421845815,-3.7075222726188644,0.98673301563696,4.044576548573812
2458,119.33333333333333,60.666666666666664,0.19514108203531944,-4.2356545999174084,1.0898537291563375,4.352049656633486
2459,118.66666666666667,61.333333333333336,0.38701514917612734,-3.940365745753694,0.9924211448954331,4.183828421714653
2460,121.33333333333333,60.666666666666664,0.14695889137761187,-4.480160575665799,1.0740148147818802,4.502140031396253
2461,120.66666666666667,61.333333333333336,0.32318018035425355,-4.180780700637865,0.978894581980965,4.322521809313313
2462,123.33333333333333,60.666666666666664,0.10586827903098284,-4.732209983453981,1.0386335537448037,4.652703669371622
2463,122.66666666666667,61.333333333333336,0.2664853665333644,-4.42893494345619,0.9458551282447692,4.462308163461437
2464,125.33333333333333,60.666666666666664,0.07140677942022222,-4.99160396758346,0.9836253727022278,4.805876465796146
2465,124.66666666666667,61.333333333333336,0.21657092063284322,-4.684765994196041,0.89322494978222,4.6053741200748455
2466,127.33333333333333,60.666666666666664,0.04294640023813612,-5.258140732610098,0.9092436543409402,4.96429710416196
2467,126.66666666666667,61.333333333333336,0.1730539522909651,-4.948040893495998,0.8212021761075544,4.754403050682372
2468,129.33333333333334,60.666666666666664,0.0197505982630779,-5.531718812983392,0.8161425679761325,5.131047386820301
2469,128.66666666666666,61.333333333333336,0.1355946316338752,-5.21843434772621,0.7303168682505368,4.9125063156401065
2470,131.33333333333334,60.666666666666664,0.001045460134328824,-5.812452130438928,0.7054345940983053,5.309555299256157
2471,130.66666666666666,61.333333333333336,0.10397017860062618,-5.495624707124443,0.6214841657421488,5.083121325542157
2472,133.33333333333334,60.666666666666664,-0.013896592403769503,-6.100791784206789,0.5787392215225462,5.503463784227518
2473,132.66666666666666,61.333333333333336,0.07815442432838982,-5.779405431498615,0.49605174763447946,5.269879327775078
2474,135.33333333333334,60.666666666666664,-0.02566414187634214,-6.397648084443101,0.43822042947923784,5.716476498329785
2475,134.66666666666666,61.333333333333336,0.05839970269131323,-6.069807657737469,0.3558395752245805,5.4764532795667895
2476,137.33333333333334,60.666666666666664,-0.03461054084462267,-6.70450551156938,0.286612337794115,5.952200558920889
2477,136.66666666666666,61.333333333333336,0.04531707988869993,-6.3672275608295115,0.2031712234994768,5.706403797510204
2478,139.33333333333334,60.666666666666664,-0.04076086504957388,-7.0235232334291435,0.1272345983471652,6.214013038444146
2479,138.66666666666666,61.333333333333336,0.03995052865717463,-6.672550767497182,0.04089782641942295,5.963046920149409
2480,61.333333333333336,62.666666666666664,0.14308202183731056,3.3638843150995164,-0.14920891236196487,2.8877184719659494
2481,60.666666666666664,63.333333333333336,-0.20127816026353984,2.801955499042926,0.032048887269523145,2.6529571439502653
2482,63.333333333333336,62.666666666666664,0.170879645031766,3.518031447812386,-0.4313044305755025,3.083011844070938
2483,62.666666666666664,63.333333333333336,-0.019820157581199593,3.294069095348726,-0.3483719995601773,3.004881674875882
2484,65.33333333333333,62.666666666666664,0.2566788005133154,3.4284320841322327,-0.748083233545578,3.1252362200851134
2485,64.66666666666667,63.333333333333336,0.29724923041414875,3.5721898415476927,-0.7849488710088367,3.239022004309009
2486,67.33333333333333,62.666666666666664,0.4026727186935055,3.156666909307097,-1.0335448149200113,3.0659033902411856
2487,66.66666666666667,63.333333333333336,0.6823419627569423,3.6108591536652157,-1.1803171126043224,3.3688081267780325
2488,69.33333333333333,62.666666666666664,0.5915032064317047,2.7680441236163533,-1.2516595046713637,2.950324499194971
2489,68.66666666666667,63.333333333333336,1.0771262475185779,3.4457184216606995,-1.4843189724976076,3.411088544433503
2490,71.33333333333333,62.666666666666664,0.7997568800131699,2.316435620914277,-1.3897651631399377,2.8121172906675884
2491,70.66666666666667,63.333333333333336,1.4412366067710036,3.1322155809046244,-1.6812171004895737,3.38536391421593
2492,73.33333333333333,62.666666666666664,1.0059376008047642,1.8411775654758595,-1.449744741576583,2.674460952589754
2493,72.66666666666667,63.333333333333336,1.751271500945653,2.724227601313913,-1.7754215287723714,3.311729334198551
2494,75.33333333333333,62.666666666666664,1.1937497883300616,1.3686774380089362,-1.4410302850352659,2.5525077748646376
2495,74.66666666666667,63.333333333333336,1.9967919329169952,2.265829422095387,-1.781069110769943,3.2090037461184693
2496,77.33333333333333,62.666666666666664,1.352628509145026,0.9152947619953109,-1.3760097621276395,2.4554822825180174
2497,76.66666666666667,63.333333333333336,2.1761313181992303,1.7896980936671514,-1.7155909902728486,3.0936818570182347
2498,79.33333333333333,62.666666666666664,1.4769913281438132,0.4901298847011236,-1.267360289821096,2.3882651818218514
2499,78.66666666666667,63.333333333333336,2.2929764831846944,1.3183010365837404,-1.5961915512057958,2.979535129356384
2500,81.33333333333333,62.666666666666664,1.5650756979331308,0.09729099250399564,-1.1266853263757355,2.3525713486882727
2501,80.66666666666667,63.333333333333336,2.353892158079541,0.8659445261021498,-1.4381793251246484,2.877544849553243
2502,83.33333333333333,62.666666666666664,1.6177904228902453,-0.2624096079824332,-0.9639518934575722,2.347862040646413
2503,82.66666666666667,63.333333333333336,2.366668590533217,0.44083080361831817,-1.254375609306317,2.7959425973589282
2504,85.33333333333333,62.666666666666664,1.63775474877222,-0.5902465612795852,-0.7873796191542305,2.3720841697307806
2505,84.66666666666667,63.333333333333336,2.339295423232111,0.046806820735509236,-1.0550984304492277,2.7402674039203876
2506,87.33333333333333,62.666666666666664,1.6285665328307632,-0.8887476716554474,-0.6035609092766997,2.422272423695529
2507,86.66666666666667,63.333333333333336,2.279374747019029,-0.3152665620309527,-0.8484187740392519,2.7134617610889125
2508,89.33333333333333,62.666666666666664,1.5942810237113338,-1.1611328334529212,-0.4176811348927646,2.4950163183262926
2509,88.66666666666667,63.333333333333336,2.19382370329314,-0.6464945986001431,-0.6405173177796815,2.716084026592088
2510,91.33333333333333,62.666666666666664,1.5390604135252515,-1.4109440605140107,-0.23376578720834243,2.5867915802094514
2511,90.66666666666667,63.333333333333336,2.08875739741843,-0.9492143875784513,-0.43605111857409,2.746692281583069
2512,93.33333333333333,62.666666666666664,1.466951699621934,-1.641805884760108,-0.05491711615745593,2.6941698011118786
2513,92.66666666666667,63.333333333333336,1.969477122628621,-1.2264797566125665,-0.23848742638830164,2.802376820049192
2514,95.33333333333333,62.666666666666664,1.381755669752018,-1.8572727874482189,0.11647652985735242,2.8139339041822615
2515,94.66666666666667,63.333333333333336,1.8405148798245539,-1.4817073789589852,-0.05038839385500154,2.879346668287887
2516,97.33333333333333,62.666666666666664,1.2869574824404975,-2.0607336209647933,0.2785640721257374,2.943130951929255
2517,96.66666666666667,63.333333333333336,1.7057036161284245,-1.7184379532869019,0.1263557118525737,2.973459752516514
2518,99.33333333333333,62.666666666666664,1.1856968023680965,-2.2553526724252557,0.42988742187121803,3.0790895163416185
2519,98.66666666666667,63.333333333333336,1.5682550701160451,-1.9401775119609872,0.2903407362287746,3.080625045130663
2520,101.33333333333333,62.666666666666664,1.0807617838111827,-2.4440338946273856,0.5692666616556811,3.219421137595606
2521,100.66666666666667,63.333333333333336,1.430835218400765,-2.150293351268398,0.44050386606596703,3.1970607036199192
